"PlayerName","Team","POS","ADP","IP","mW","mERA","mWHIP","mK9","mQS","mSVHLD","PTS","aPOS","Dollars"
"Dellin Betances","NYM","RP","600.7","58","($0.4)","($0.2)","($0.5)","($0.1)","($0.4)","$0.1","($1.6)","$1.8","$0.7"
"Sam Selman","SFG","RP","999.0","50","($0.5)","($0.1)","($0.4)","$0.0","($0.4)","($0.2)","($1.6)","$1.8","$0.7"
"Tony Gonsolin","LAD","SP","257.4","98","$0.1","($0.7)","($0.1)","($0.5)","$0.0","($0.4)","($1.6)","$1.8","$0.7"
"Corey Knebel","LAD","RP","564.2","56","($0.4)","($0.4)","($0.4)","$0.0","($0.4)","$0.0","($1.6)","$1.8","$0.7"
"Andrew Chafin","CHC","RP","999.0","62","($0.4)","($0.1)","($0.6)","($0.3)","($0.4)","$0.1","($1.7)","$1.8","$0.7"
"Joe Musgrove","SDP","SP","127.0","169","$1.0","($0.8)","($0.1)","($1.9)","$0.9","($0.7)","($1.7)","$1.8","$0.6"
"Brent Suter","MIL","RP","551.2","62","($0.4)","($0.3)","$0.0","($0.7)","($0.4)","$0.1","($1.7)","$1.8","$0.6"
"Aaron Loup","NYM","RP","999.0","52","($0.5)","$0.0","($0.3)","($0.4)","($0.4)","($0.2)","($1.7)","$1.8","$0.6"
"Jordan Romano","TOR","RP","406.1","62","($0.4)","($0.5)","($0.3)","($0.4)","($0.4)","$0.2","($1.7)","$1.8","$0.6"
"Dustin May","LAD","SP","217.6","99","$0.2","($0.1)","($0.2)","($1.1)","$0.1","($0.7)","($1.7)","$1.8","$0.6"
"Matt Wisler","SFG","RP","585.5","62","($0.4)","($0.5)","($0.2)","($0.5)","($0.4)","$0.2","($1.7)","$1.8","$0.6"
"Kevin Ginkel","ARI","RP","596.7","56","($0.5)","($0.5)","($0.4)","$0.0","($0.4)","$0.0","($1.8)","$1.8","$0.5"
"Ray Black","MIL","RP","600.8","46","($0.5)","($0.3)","($0.3)","$0.2","($0.4)","($0.4)","($1.8)","$1.8","$0.5"
"Drew Smyly","ATL","SP","231.6","134","$0.6","($1.6)","($0.7)","$0.0","$0.5","($0.7)","($1.8)","$1.8","$0.5"
"Tim Hill","SDP","RP","999.0","55","($0.4)","$0.1","($0.3)","($0.7)","($0.4)","($0.2)","($1.8)","$1.8","$0.5"
"A.J. Minter","ATL","RP","552.9","60","($0.4)","($0.4)","($0.6)","($0.3)","($0.4)","$0.2","($1.9)","$1.8","$0.5"
"Felix Pena","LAA","RP","600.2","60","($0.4)","($0.6)","($0.2)","($0.5)","($0.4)","$0.2","($1.9)","$1.8","$0.5"
"Tyler Duffey","MIN","RP","558.9","62","($0.4)","($0.5)","($0.3)","($0.5)","($0.4)","$0.2","($1.9)","$1.8","$0.4"
"Scott Barlow","KCR","RP","559.8","65","($0.4)","($0.5)","($0.5)","($0.3)","($0.4)","$0.2","($1.9)","$1.8","$0.4"
"Genesis Cabrera","STL","RP","594.8","38","($0.6)","($0.1)","($0.3)","($0.1)","($0.4)","($0.6)","($2.0)","$1.8","$0.4"
"Josh Staumont","KCR","RP","484.2","63","($0.4)","($0.7)","($0.9)","$0.1","($0.4)","$0.4","($2.0)","$1.8","$0.4"
"Cody Reed","TBR","RP","999.0","44","($0.5)","$0.0","($0.2)","($0.3)","($0.4)","($0.5)","($2.0)","$1.8","$0.4"
"David Robertson","","RP","599.7","47","($0.5)","($0.2)","($0.2)","$0.0","($0.4)","($0.7)","($2.0)","$1.8","$0.3"
"Justin Topa","MIL","RP","999.0","55","($0.4)","($0.3)","($0.2)","($0.4)","($0.4)","($0.2)","($2.0)","$1.8","$0.3"
"Anthony Misiewicz","SEA","RP","999.0","62","($0.4)","($0.5)","($0.2)","($0.7)","($0.4)","$0.1","($2.0)","$1.8","$0.3"
"Yimi Garcia","MIA","RP","362.2","63","($0.4)","($0.8)","($0.3)","($0.6)","($0.4)","$0.4","($2.0)","$1.8","$0.3"
"Joe Kelly","LAD","RP","599.2","54","($0.4)","($0.1)","($0.6)","($0.4)","($0.4)","($0.1)","($2.1)","$1.8","$0.3"
"Matt Strahm","SDP","RP","600.7","44","($0.5)","($0.3)","$0.0","($0.4)","($0.4)","($0.5)","($2.1)","$1.8","$0.3"
"Taylor Widener","ARI","RP","600.5","47","($0.5)","($0.5)","($0.3)","($0.2)","($0.4)","($0.3)","($2.1)","$1.8","$0.2"
"Taylor Hearn","TEX","RP","600.9","57","($0.5)","($0.6)","($0.5)","$0.0","($0.4)","($0.1)","($2.1)","$1.8","$0.2"
"Phil Maton","CLE","RP","600.7","58","($0.4)","($0.6)","($0.3)","($0.3)","($0.4)","$0.0","($2.1)","$1.8","$0.2"
"Connor Brogdon","PHI","RP","999.0","52","($0.5)","($0.7)","($0.3)","($0.1)","($0.4)","($0.2)","($2.2)","$1.8","$0.2"
"Zac Gallen","ARI","SP","39.8","165","$0.7","($1.4)","($0.8)","($0.7)","$0.9","($0.7)","($2.1)","$1.8","$0.2"
"Zack Britton","NYY","RP","380.9","64","($0.3)","$0.2","($1.0)","($0.9)","($0.4)","$0.2","($2.2)","$1.8","$0.2"
"David Price","LAD","SP","188.3","126","$0.6","($1.0)","($0.5)","($1.0)","$0.5","($0.7)","($2.1)","$1.8","$0.2"
"Brandon Workman","CHC","RP","554.4","58","($0.4)","($0.5)","($0.8)","($0.2)","($0.4)","$0.2","($2.2)","$1.8","$0.1"
"Lance McCullers Jr.","HOU","SP","120.2","161","$0.9","($0.5)","($1.0)","($1.7)","$0.9","($0.7)","($2.1)","$1.8","$0.1"
"Anthony Bass","MIA","RP","292.1","63","($0.4)","($0.4)","($0.7)","($1.0)","($0.4)","$0.6","($2.3)","$1.8","$0.1"
"Ryne Stanek","HOU","RP","600.8","48","($0.5)","($0.6)","($0.4)","($0.1)","($0.4)","($0.4)","($2.3)","$1.8","$0.1"
"Erik Swanson","SEA","RP","999.0","46","($0.5)","($0.6)","($0.1)","($0.3)","($0.4)","($0.4)","($2.3)","$1.8","$0.0"
"Daniel Bard","COL","RP","285.9","63","($0.4)","($1.2)","($0.9)","($0.2)","($0.4)","$0.7","($2.4)","$1.8","$0.0"
"Jeurys Familia","NYM","RP","601.0","56","($0.4)","($0.3)","($0.8)","($0.4)","($0.4)","($0.1)","($2.4)","$1.8","$0.0"
"Will Harris","WSN","RP","599.8","60","($0.4)","($0.5)","($0.5)","($0.7)","($0.4)","$0.1","($2.4)","$1.8","$0.0"
"David Phelps","TOR","RP","999.0","58","($0.4)","($0.6)","($0.5)","($0.3)","($0.4)","($0.1)","($2.4)","$1.8","$0.0"
"Rafael Dolis","TOR","RP","556.9","65","($0.4)","($0.7)","($0.7)","($0.4)","($0.4)","$0.2","($2.4)","$1.8","$0.0"
