Name
Luis Guillorme
Nick Markakis
Leody Taveras
Stephen Vogt
Ryan Braun
Johan Camargo
Darin Ruf
Tomas Nido
Niko Goodrum
Jake Lamb
Avisail Garcia
Zack Collins
Chas McCormick
Jake Cave
Franklin Barreto
Michael Chavis
Josh Reddick
Rougned Odor
Tim Locastro
Aramis Garcia
Steven Souza Jr.
Lane Thomas
Jonathan Lucroy
JaCoby Jones
Jake Rogers
Brad Miller
Tony Wolters
Pavin Smith
Jed Lowrie
Luis Garcia
Brent Rooker
Willie Calhoun
Tyler Wade
Jarrod Dyson
Michael A. Taylor
Andy Young
Eric Sogard
Phillip Evans
Matt Beaty
Daniel Johnson Jr.
Jasrado Chisholm
Mike Tauchman
Mitch Moreland
Jahmai Jones
Jake Marisnick
Ender Inciarte
Josh VanMeter
Pat Valaika
Logan Morrison
Todd Frazier
Jay Bruce
Ben Gamel
Khris Davis
Albert Almora Jr.
Grayson Greiner
Aristides Aquino
Jacob Nottingham
Chance Sisco
Andrew Knapp
Ryan Zimmerman
Gregory Polanco
Brock Holt
Billy Hamilton
Blaze Tom
Jose  Garcia
Jake Fraley
Justin Williams
Leury Garcia
Cristian Pache
Edward Olivares
Edwin Rios
Yonathan Daza
Scott Kingery
Elias Diaz
Jose Marmolejos
Brian Goodwin
Erik Gonzalez
Edwin Encarnacion
Kyle Holder
Delino DeShields
Ronald Guzman
Harold Castro
Adam Engel
Dustin Fowler
Roman Quinn
Dexter Fowler
Josh Harrison
Taylor Trammell
Jo Adell
Dee Gordon
Lewis Brinson
Andrew Stevenson
Kyle Farmer
Jacob deGrom
Shane Bieber
Gerrit Cole
Max Scherzer
Yu Darvish
Luis Castillo
Brandon Woodruff
Trevor Bauer
Aaron Nola
Walker Buehler
Carlos Carrasco
Clayton Kershaw
German Marquez
Tyler Glasnow
Patrick Corbin
Stephen Strasburg
Blake Snell
Charlie Morton
Sonny Gray
Kevin Gausman
Jack Flaherty
Zack Wheeler
Joe Musgrove
Dinelson Lamet
Hyun-Jin Ryu
Max Fried
Lance Lynn
Kyle Hendricks
Lucas Giolito
Zac Gallen
Lance McCullers Jr.
Jesus Luzardo
Kenta Maeda
Jose Berrios
Corbin Burnes
Marcus Stroman
Pablo Lopez
Corey Kluber
Sixto Sanchez
Zack Greinke
Andrew Heaney
Robbie Ray
Nathan Eovaldi
Matthew Boyd
Josh Lindblom
Kwang-hyun Kim
Marco Gonzales
Mike Minor
Tyler Mahle
Kyle Gibson
Chris Sale
Eduardo Rodriguez
Michael Pineda
James Paxton
Sean Manaea
Zach Eflin
Frankie Montas
Dallas Keuchel
Mike Soroka
Spencer Turnbull
Jon Gray
Sandy Alcantara
Yusei Kikuchi
Merrill Kelly
Framber Valdez
Drew Smyly
David Price
Chris Bassitt
John Means
Jake Odorizzi
Noah Syndergaard
Dane Dunning
Miles Mikolas
Anthony DeSclafani
Brady Singer
Chris Paddack
Ian Anderson
Dylan Bundy
Julio Urias
Jordan Montgomery
Chris Archer
Kyle Freeland
Jameson Taillon
Alex Wood
Jose Quintana
Nate Pearson
Johnny Cueto
Luis Severino
Jonathan Brubaker
Danny Duffy
Vince Velasquez
Brad Keller
Steven Matz
Adam Wainwright
Jose Urquidy
Rick Porcello
Zach Plesac
Luke Weaver
Adrian Houser
Dustin May
Carlos Martinez
Justus Sheffield
Tejay Antone
Brett Anderson
A.J. Puk
Taijuan Walker
Mitch Keller
Tarik Skubal
Antonio Senzatela
Kris Bubic
Madison Bumgarner
Alex Cobb
Aaron Civale
Logan Webb
Ross Stripling
Wade Miley
Griffin Canning
Garrett Richards
J.A. Happ
Triston McKenzie
Elieser Hernandez
Chris Flexen
Trevor Rogers
Jake Arrieta
Alec Mills
